Dealer
Samostatný elektrotechnik výzkumný a vývojový pracovník
Samostatný elektrotechnik pro elektromagnetickou kompatibilitu
Samostatný elektrotechnik technolog
Samostatný elektrotechnik pro biomedicínské přístroje
Samostatný technik scénického osvětlení
Samostatný technik zvuku
Samostatný elektrotechnik manažer provozu
Samostatný elektrotechnik pracovník řízení jakosti
Samostatný elektrotechnik zkušebny elektrických strojů a přístrojů
Elektrotechnik dispečer
Elektrotechnik mistr
Správce elektronických palubních systémů
Elektrotechnik investic a engineeringu
Elektrotechnik audiovizuálních komunikačních prostředků a zařízení
Elektrotechnik technolog
Elektromechanik v dole
Elektromontér pevných trakčních a silnoproudých zařízení
Elektrotechnik koncových vysokofrekvenčních zařízení
Technik dozoru elektrického zařízení TZ v těžbě
Elektrotechnik kontrolor jakosti
Elektrotechnik normovač
Elektrotechnik letadlových přístrojů
Elektrotechnik měřících přístrojů
Elektrotechnik pro automatickou identifikaci (RFID)
Elektrotechnik světlotechnických zabezpečovacích zařízení letišť
Elektrotechnik zkušebny elektrických strojů a přístrojů
Mechatronik
Projektant instalací elektrických zařízení v těžbě
Revizní technik chladicích a klimatizačních zařízení a tepelných čerpadel
Revizní technik elektrických zařízení E1A
Revizní technik elektrických zařízení E1B
Revizní technik elektrických zařízení E2A
Revizní technik elektrických zařízení E2B
Revizní technik elektrických zařízení E3A
Revizní technik elektrických zařízení E4A
Důlní elektrikář slaboproudých zařízení
Elektromechanik elektrotechnických zařízení
Elektromechanik měřicích, regulačních a automatizačních zařízení
Elektromechanik vážících zařízení
Elektromechanik zabezpečovacích systémů pro informační technologie
Elektromechanik zabezpečovacích systémů pro objektovou bezpečnost
Elektromechanik zabezpečovacích systémů v dopravě
Elektromechanik audiovizuálních komunikačních prostředků a zařízení
Autoelektrikář
Elektromechanik číslicově řízených strojů
Elektromechanik lanové dráhy
Elektromechanik pro chemickotechnologická zařízení
Elektromechanik pro instalatérská zařízení
Elektromechanik světlotechnických zabezpečovacích zařízení letišť
Servisní mechanik „malých“ chladicích a klimatizačních zařízení a tepelných čerpadel
Servisní mechanik „velkých“ chladicích a klimatizačních zařízení a tepelných čerpadel
Elektromechanik kontrolor kvality
Důlní elektrikář silnoproudých zařízení
Elektromontér fotovoltaických systémů
Montér inteligentních elektroinstalací
Montér izolovaných vedení
Montér kabelových technologií pro silnoproud
Montážní a pomocný pracovník v elektrotechnice
Dispečer přenosové elektrické soustavy specialista
Energetik specialista správy elektrické sítě
Energetik specialista řídicí soustavy
Energetik specialista provozu elektrárny
Energetik specialista distribuční soustavy
Energetik specialista výroby tepelné energie
Energetik specialista rozvoje elektrické sítě
Specialista měření v elektroenergetice
Specialista energetického dispečinku
Specialista metodik správy dat o sítích VN, NN
Specialista operátor jaderné elektrárny
Technolog specialista stavebně montážní činnosti v energetice
Samostatný technik provozu elektrárny
Samostatný technolog stavebně montážní činnosti v energetice
Samostatný pracovník investic a engineeringu v energetice
Samostatný technik rozvoje výroby elektrické energie
Samostatný technik provozu distribuční soustavy
Samostatný technik rozvoje elektrické sítě
Samostatný technolog elektrárny
Samostatný projektant elektroenergetických sítí
Samostatný technik rozvoje teplárenství
Samostatný technolog teplárny
Samostatný technik provozu teplárny
Samostatný dispečer přenosové elektrické soustavy
Samostatný technik provozu řídicí soustavy
Samostatný projektant elektroenergetických stanic
Samostatný technik správy dat o sítích VN, NN
Samostatný technik měření v elektroenergetice
Vedoucí bioplynové stanice
Dispečer rozvodné elektrické soustavy
Dispečer teplárny
Mistr teplárny
Technolog teplárny
Kontrolor jakosti v energetice
Operátor kotlů v energetice
Operátor horkovodních energetických zařízení
Operátor parních energetických zařízení
Revizní technik nízkotlakých kotelen
Operátor bloku tepelné elektrárny
Operátor turbíny
Technik údržby ochran
Technik provozu elektrárny
Technik provozu malé elektrárny
Technik provozu řídicí soustavy
Technik provozu distribuční soustavy
Technik inteligentních elektroinstalací
Technik energetického dispečinku
Technolog elektrárny
Technik měření v elektroenergetice
Technik správy dat o sítích VN, NN
Montér dobíjecích stanic pro elektromobily
Obsluha energetických zařízení
Pracovník obsluhy bioplynových stanic
Topič nízkotlakých parních kotlů
Topič nízkotlakých teplovodních kotlů
Topič horkovodních kotlů
Topič parních kotlů
Hutní inženýr dispečer
Hutní inženýr metalurg
Hutní inženýr projektant
Hutní inženýr technik řízení jakosti
Hutní inženýr technolog
Hutní inženýr výzkumný a vývojový pracovník
Kovárenský inženýr technolog kování
Kovárenský inženýr technolog tepelného zpracování kovů
Slévárenský inženýr metalurg
Slévárenský inženýr projektant
Slévárenský inženýr technik řízení jakosti
Slévárenský inženýr technolog
Slévárenský inženýr výzkumný a vývojový pracovník
Technolog lisovny specialista
Samostatný slévárenský technik metalurg
Samostatný slévárenský technik projektant
Samostatný slévárenský technik řízení jakosti
Samostatný slévárenský technik technolog
Samostatný hutní technik dispečer
Samostatný hutní technik metalurg
Samostatný hutní technik projektant
Samostatný hutní technik řízení jakosti
Samostatný hutní technik technolog
Hutní technik dispečer
Hutní technik metalurg
Hutní technik mistr
Hutní technik normovač
Hutní technik operátor
Hutní technik přípravář výroby
Hutní technik projektant
Hutní technik řízení jakosti
Hutní technik technolog
Kovárenský technik technolog
Kovárenský technik technolog tepelného zpracování kovů
Mistr kovárny
Metalograf
Slévárenský technik technolog IT
Slévárenský technik dispečer
Slévárenský technik metalurg
Slévárenský technik mistr
Slévárenský technik modelář
Slévárenský technik normovač
Slévárenský technik projektant
Slévárenský technik řízení jakosti
Slévárenský technik technolog
Mistr lisovny
Technolog lisovny
Expedient metalurgických výrobků
Hutník tavič neželezných kovů
Hutník v recyklaci neželezných kovů
Hutník přípravář vsázky aglomerace
Hutník tavič oceli
Hutník vysokopecař
Hutník valcíř kovů
Hutník tváření kovů
Hutník tažeč kovů
Kovář v hutním provozu
Koksař obsluha baterií
Koksař obsluha chemické části koksovny
Lisař na protlačovacích lisech v hutním provozu
Lisař na strojích s manuální obsluhou v hutním provozu
Lisař-seřizovač na automatizovaných linkách v hutním provozu
Laborant v metalurgii
Modelář ve slévárenství
Práškový metalurg
Formíř a jádrař
Tavič
Pomocný pracovník v hutnictví a slévárenství
Diagnostik chemik
Inženýr chemie analytik
Inženýr chemie manažer provozu
Inženýr chemie pro environment
Inženýr chemie procesní inženýr
Inženýr chemie produktmanažer
Inženýr chemie technolog
Inženýr chemie výzkumný a vývojový pracovník
REACH manažer
Chemický technik analytik
Chemický technik BOZP
Chemický technik environmentální geochemik
Chemický technik manažer provozu
Chemický technik mistr
Chemický technik operátor
Chemický technik plánovač
Chemický technik pro environment
Chemický technik pro kompozitní materiály
Chemický technik pro povrchové úpravy materiálů
Chemický technik produktmanažer
Chemický technik technolog
Chemicko-farmaceutický analytik
Chemicko-farmaceutický mistr
Chemicko-farmaceutický operátor
Chemicko-farmaceutický plánovač
Chemicko-farmaceutický technolog
Technolog zpracování plastů
Technolog gumárenské výroby
Chemik laborant
Chemik pro obsluhu zařízení
Chemik pro vzorkování
Operátor zpracování dílů z kompozitů
Konfekcionér gumárenské výroby
Lisovač gumárenské výroby
Obsluha gumárenských zařízení
Obsluha plastikářských zařízení
Seřizovač vstřikovacích lisů pro zpracování plastů
Vizuální kontrolor gumárenské výroby
Lepič plastů
Pomocný pracovník v chemii
Manažer kybernetické bezpečnosti
Programátor analytik
Architekt IT v sektoru státní správy
Business Architect
Podnikový architekt IT v komerčním sektoru
Správce datového centra
Specialista IT
Systémový inženýr správy aplikací
Specialista operačních systémů a sítí
Správce řídicích systémů
Auditor kybernetické bezpečnosti
Analytik kybernetické bezpečnosti
Business analytik
Návrhář databází
Návrhář software
Architekt kybernetické bezpečnosti
Grafik uživatelského rozhraní
Nákupčí informačních a komunikačních technologií
Návrhář podnikových procesů
Procesní konzultant
Programátor PLC
Programátor pro mobilní aplikace
Samostatný programátor
Správce operačních systémů a sítí
Správce webových aplikací
Samostatný technik IT
Solutions Architect
Softwarový tester
Správce softwarových aplikací
Správce báze znalostí
Tester automatizovaného testování
Webový grafik
Webový interakční designer
Webový kodér
Správce databází
Technik kybernetické bezpečnosti
Operátor výpočetní techniky
Programátor
Správce aplikací
Správce IT pro malé a střední organizace
Technik PC a periférií
Kožařský specialista designér a modelář
Kožařský specialista nákupčí a zbožíznalec
Kožařský specialista pro řízení výroby a kvality
Kožařský specialista pro zdravotní a ortopedickou obuv
Kožařský specialista technolog
Kožařský specialista výzkumný, vývojový a vědecký pracovník
Samostatný kožařský technik designér a modelář
Samostatný kožařský technik manažer provozu
Samostatný kožařský technik nákupčí
Samostatný kožařský technik pracovník řízení a kontroly kvality
Samostatný kožařský technik technolog
Samostatný kožařský technik vedoucí výroby
Kožařský technik vedoucí výrobního provozu
Kožařský technik designér a modelář
Kožařský technik kontrolor kvality
Kožařský technik mistr
Kožařský technik plánovač výroby, zásobovač
Kožařský technik technolog
Kožařský technik technolog výroby obuvi
Technolog pro plastikářskou a gumárenskou výrobu obuvi
Kráječ kožešinových a usňových dílců
Šička kožešinových a usňových výrobků
Obuvník pro gumárenskou výrobu
Obuvník pro plastikářskou výrobu
Obuvník pro sériovou výrobu
Obuvník pro výrobu ortopedické obuvi
Obuvník pro zakázkovou výrobu
Opravář obuvi a kožedělného zboží
Svrškařka
Vysekávač
Brašnář
Rukavičkář
Sedlář
Koželuh
Úpravář kožešin
Úpravář usní
Dělník v koželužské výrobě
Dělník v obuvnické výrobě
Pomocný pracovník v kožedělném průmyslu
Lesní inženýr pro obchod, expedici a dopravu dříví
Lesní inženýr pro pěstební činnost a školkařství
Lesní inženýr pro těžební činnost
Lesní inženýr správce
Lesní inženýr zařizovatel
Lesní technik těžebně-dopravních a štěpkovacích strojů
Lesní technik lesník pro pěstební činnost
Lesní technik lesník pro těžební činnost
Lesní technik myslivec
Lesní technik pro obchod, expedici a dopravu dříví
Lesní technik školkař
Lesní technik taxátor
Opravář těžebně-dopravních a štěpkovacích strojů
Pracovník v myslivosti
Mechanizátor pro pěstební činnost
Mechanizátor pro výrobu sazenic v lesních školkách
Údržba lesních cest
Sběrač a trhač reprodukčního materiálu lesních dřevin
Dopravce dříví
Mechanizátor pro soustřeďování dříví
Obsluha mobilních štěpkovacích strojů
Pracovník na manipulačních skladech v lesnictví
Těžař dříví motomanuální
Těžař dříví těžebně-dopravními stroji
Lesní dělník
Pomocný pracovník v lesnictví a myslivosti
Finanční ředitel
Generální ředitel
Marketingový ředitel
Manažer kontroly kvality
Manažer kvality
Obchodní ředitel
Poradce systému kvality
Projektový manažer
Provozní ředitel
Personální ředitel
Ředitel informačních technologií
Ředitel zákaznických služeb
Ředitel nákupu
Ředitel investičního rozvoje
Ředitel malé organizace
Ředitel logistiky
Ředitel interního auditu
Technický ředitel
Výrobní ředitel
Vedoucí týmu
Knihovník specialista katalogizátor
Referenční knihovník specialista
Šéfredaktor
Tiskový mluvčí
Konsekutivní tlumočník
Překladatel
Překladatel odborných textů
Překladatel uměleckých textů
Simultánní tlumočník
Soudní tlumočník a překladatel
Tlumočník
Tlumočník znakové řeči
Knižní vydavatel
Odborný pracovník vztahů k veřejnosti
Redaktor novinář
Samostatný knihovník akvizitér
Samostatný knihovník katalogizátor
Samostatný referenční knihovník
Technický redaktor
Korektor ve vydavatelství
Knihovník akvizitér
Knihovník katalogizátor
Knihovník pracovník správy fondů
Knihovník v knihovně pro děti
Knihovník v přímých službách
Referenční knihovník
Pracovník vztahů k veřejnosti
Manažer zahraničního obchodu
Manažer reklamy
Manažer marketingu
PR specialista
Analytik obchodní provozovny
Manažer velkoobchodního skladu
Manažer maloobchodní franšízové sítě
Manažer odbytu velkoobchodu
Manažer nákupu velkoobchodu
Oblastní manažer velkoobchodu pro svěřený region
Specialista zahraničního obchodu
Obchodní referent
Specialista pro kontrolu obchodních provozoven
Produktový specialista
Specialista pro podporu prodeje a tvorbu letákových akcí
Vedoucí pracovník internetového obchodu
Inspektor prodejen
Administrátor a koordinátor elektronického katalogu zboží
Pracovník cenotvorby
Pracovník obchodního úseku
Specialista merchandisingu
Mediální plánovač
Nákupčí audio, video
Nákupčí pro internet, multimédia a nová média
Nákupčí tiskových médií
Pracovník monitoringu médií
Nákupčí
Aukcionář, dražebník
Knihkupec
Obchodní zástupce
Pracovník internetového obchodu
Realitní makléř
Starožitník
Zastavárník
Pracovník odbytu
Specialista bezpečnosti a hygieny prodeje potravin
Manažer call centra
Operátor zákaznické linky
Pracovník distančního zákaznického servisu
Školitel operátorů zákaznické linky
Vedoucí maloobchodní provozovny
Vedoucí velkoobchodní provozovny
Aranžér
Manekýn
Drogista
Pokladní
Referent internetového obchodu
Skladník
Pomocný pracovník v obchodě
Kryptograf specialista
Manažer BOZP
Odborně způsobilá osoba v požární ochraně
Bezpečnostní manažer v obchodě a službách
Specialista bezpečnostního a krizového řízení
Vedoucí detektiv
Odborně způsobilá osoba v prevenci rizik BOZP
Bezpečnostní systémový analytik
Detektiv pro prošetřování událostí
Detektiv specialista
Detektiv zpravodajský pracovník
Detektivní technik
Samostatný bezpečnostní referent
Samostatný instruktor výcviku
Samostatný kryptograf
Technik požární ochrany
Pracovník bezpečnostního dohledového centra informačních systémů
Bezpečnostní technolog
Bezpečnostní konzultant
Bezpečnostní referent
Detektiv koncipient
Kryptograf
Mistr plavčí
Psovod bezpečnostní služby pro detekci akcelerantů hoření
Psovod bezpečnostní služby pro detekci drog
Člen horské služby
Cvičitel horské služby
Instruktor horské služby
Psovod horské služby
Preventista požární ochrany
Technik BOZP
Záchranář na volné vodě
Záchranář pro lyžařské tratě
Plavčík
Pracovník dohledového centra
Pracovník osobní ochrany
Pracovník ostrahy v obchodě a službách
Pracovník ostrahy veřejných akcí
Pracovník převozu finanční hotovosti a cenin
Pracovník výjezdové skupiny
Psovod bezpečnostní služby
Technik poplachových systémů
Technik požární signalizace
Montér mechanických zábran
Zámkař
Strážný
Specialista celního pátrání
Specialista služební přípravy
Celní tarifér specialista
Generál ozbrojených sil ČR
Major ozbrojených sil ČR
Metodik celního a daňového řízení
Rada - kriminalistický expert
Rada - manažer
Rada - příslušník štábu
Rada služby cizinecké policie
Rada služby dopravní policie
Rada služby kriminální policie a vyšetřování
Rada služby pořádkové policie
Rada služby pro zbraně a bezpečnostní materiál
Plukovník ozbrojených sil ČR
Podplukovník ozbrojených sil ČR
Vrchní rada, vrchní státní rada - manažer
Rada justiční stráže
Rada vězeňské stráže
Specialista pro mezinárodní spolupráci v celní správě
Správní referent vězeňství specialista
Celník – referent pátrání
Celník - koordinátor výkonu služby
Inspektor justiční stráže
Inspektor vězeňské stráže
Kapitán ozbrojených sil ČR
Nadporučík ozbrojených sil ČR
Operační důstojník
Komisař - kriminalistický technik
Komisař - manažer
Komisař - specialista ICT
Komisař služby cizinecké policie
Komisař služby dopravní policie
Komisař služby kriminální policie a vyšetřování
Komisař služby pořádkové policie
Vrchní komisař - kriminalistický expert
Vrchní komisař - manažer
Vrchní komisař - příslušník štábu
Vrchní komisař – specialista ICT
Vrchní komisař služby cizinecké policie
Vrchní komisař služby dopravní policie
Vrchní komisař služby kriminální policie a vyšetřování
Vrchní komisař služby pořádkové policie
Vrchní komisař služby pro zbraně a bezpečnostní materiál
Vrchní komisař - specialista v oblasti integrovaného záchranného systému a řízení jednotek požární ochrany
Vrchní komisař - specialista v oblasti krizového řízení a havarijního plánování
Vrchní komisař - specialista v oblasti požární prevence a státního požárního dozoru
Vrchní komisař - technik komunikační a informační služby
Vrchní komisař - technik služeb
Vrchní komisař – lektor - instruktor
Vrchní komisař – specialista v oblasti civilní nouzové připravenosti a strategií
Vrchní komisař – specialista v oblasti financování výkonu služby
Vrchní komisař – specialista v oblasti ochrany a přípravy obyvatelstva
Vrchní komisař – specialista v oblasti služebních vztahů
Vrchní komisař – specialista v oblasti vzdělávání
Komisař - lektor - instruktor
Komisař - specialista v oblasti integrovaného záchranného systému a řízení jednotek požární ochrany
Komisař - specialista v oblasti požární prevence a státního požárního dozoru
Komisař - technik komunikační a informační služby
Komisař - technik služeb
Komisař – specialista v oblasti krizového řízení a havarijního plánování
Komisař – specialista v oblasti ochrany a přípravy obyvatelstva
Poručík ozbrojených sil ČR
Samostatný pracovník celního a daňového řízení
Samostatný správní referent vězeňství
Samostatný pracovník celní kontroly
Sociální pracovník ve vězeňské službě
Kriminalistický celní technik
Kynolog
Samostatný pracovník celního dohledu
Samostatný pracovník celního pátrání
Celník - referent integrovaných kontrol
Celník - referent daňového řízení
Celník - referent mobilního dohledu
Celník - referent celního řízení
Pracovník celní asistenční činnosti
Pracovník celního dohledu
Pracovník celního pátrání
Nadrotmistr ozbrojených sil ČR
Nadpraporčík ozbrojených sil ČR
Operační technik
Vrchní inspektor - lektor - instruktor
Vrchní inspektor - specialista v oblasti integrovaného záchranného systému a řízení jednotek požární ochrany
Vrchní inspektor - specialista v oblasti krizového řízení a havarijního plánování
Vrchní inspektor - specialista v oblasti ochrany a přípravy obyvatelstva
Vrchní inspektor - specialista v oblasti požární prevence a státního požárního dozoru
Vrchní inspektor - technik komunikační a informační služby
Vrchní inspektor - technik služeb
Vrchní inspektor - kriminalistický technik
Vrchní inspektor - kynolog
Vrchní inspektor - operační důstojník
Vrchní inspektor - specialista ICT
Vrchní inspektor ochranné služby
Vrchní inspektor služby cizinecké policie
Vrchní inspektor služby dopravní policie
Vrchní inspektor služby kriminální policie a vyšetřování
Vrchní inspektor služby pořádkové policie
Vrchní inspektor zásahové jednotky
Dozorce
Inspektor dozorčí služby
Inspektor strážní služby
Strážný justiční stráže
Strážný vězeňské služby
Strážný vězeňské stráže
Velitel jednotky justiční stráže
Policista - vrchní referent
Hasič
Hasič - technik
Hasič – strojní služba
Hasič – velitel
Záchranář - technik záchranné roty
Záchranář – velitel záchranné roty
Záchranář záchranné roty
Praporčík ozbrojených sil ČR
Vrchní asistent - kynolog
Vrchní asistent - specialista ICT
Vrchní asistent ochranné služby
Vrchní asistent služby cizinecké policie
Vrchní asistent služby dopravní policie
Vrchní asistent služby pořádkové policie
Asistent služby cizinecké policie
Asistent služby dopravní policie
Asistent služby pořádkové policie
Pracovník celního a daňového řízení
Inspektor - kynolog
Inspektor ochranné služby
Inspektor služby cizinecké policie
Inspektor služby dopravní policie
Inspektor služby kriminální policie a vyšetřování
Inspektor služby pořádkové policie
Inspektor specialista ICT
Inspektor zásahové jednotky
Rotný ozbrojených sil ČR
Rotmistr ozbrojených sil ČR
Štábní praporčík ozbrojených sil ČR
Správní referent vězeňství
Četař ozbrojených sil ČR
Desátník ozbrojených sil ČR
Svobodník ozbrojených sil ČR
Vedoucí recepce
Vedoucí rezervačního oddělení
Vedoucí stravovacího úseku
Wellness specialista
Animační pracovník v rekreačním zařízení
Průvodce specialista pro region Jižní Morava
Průvodce specialista pro region Praha
Průvodce cestovního ruchu
Samostatný pracovník cestovní kanceláře a cestovní agentury
Vedoucí kempu
Vedoucí pracovník turistického informačního centra
Balneotechnik
Horský průvodce
Krupiér
Provozní
Recepční
Animátor cestovní kanceláře
Místní zástupce cestovní kanceláře
Prodejce v cestovní kanceláři
Vedoucí zájezdu
Pracovník turistického informačního centra
Místní zástupce cestovní agentury
Prodejce cestovní agentury
Správce kempu
Barista
Barman
Číšník
Cukrář v restauračním provozu
Kuchař pro přípravu pokrmů na objednávku
Kuchař studené kuchyně
Kuchař teplé kuchyně
Obsluha fitness centra
Obsluha sauny pro děti a dospělé
Obsluha sauny pro předškolní a školní zařízení
Obsluha solária
Pracovník ubytování v malých ubytovacích zařízeních
Sommelier
Zasněžovač
Pomocný číšník
Kuchař expedient
Pomocný přípravář pokrmů
Výrobce pokrmů rychlého občerstvení
Výrobce příloh
